country,subject,source,dateS,count
Chine,Général,Gucheng,2016-05-06,76
Chine,Général,Gucheng,2016-05-08,60
Chine,Général,Gucheng,2016-05-09,70
Chine,Général,Gucheng,2016-05-10,101
Chine,Général,Gucheng,2016-05-11,109
Chine,Général,Gucheng,2016-05-12,97
Chine,Général,Gucheng,2016-05-13,104
Chine,Général,Gucheng,2016-05-14,56
Chine,Général,Gucheng,2016-05-15,52
Chine,Général,Gucheng,2016-05-16,124
Chine,Général,Gucheng,2016-05-17,76
Chine,Général,Gucheng,2016-05-18,121
Chine,Général,Gucheng,2016-05-19,113
Chine,Général,Gucheng,2016-05-20,106
Chine,Général,Gucheng,2016-05-21,31
Chine,Général,Gucheng,2016-05-22,41
Chine,Général,Gucheng,2016-05-23,125
Chine,Général,Gucheng,2016-05-24,132
Chine,Général,Gucheng,2016-05-25,103
Chine,Général,Gucheng,2016-05-26,116
Chine,Général,Gucheng,2016-05-27,99
Chine,Général,Gucheng,2016-05-28,180
Chine,Général,Gucheng,2016-06-04,87
Chine,Général,Gucheng,2016-06-05,33
Chine,Général,Gucheng,2016-06-06,205
Chine,Général,Gucheng,2016-06-07,107
Chine,Général,Gucheng,2016-06-08,94
Chine,Général,Gucheng,2016-06-09,70
Chine,Général,Gucheng,2016-06-10,68
Chine,Général,Gucheng,2016-06-11,112
Chine,Général,Gucheng,2016-06-14,130
Chine,Général,Gucheng,2016-06-15,120
Chine,Général,Gucheng,2016-06-16,157
Chine,Général,Gucheng,2016-06-21,127
Chine,Général,Gucheng,2016-06-22,142
Chine,Général,Gucheng,2016-06-23,87
Chine,Général,Gucheng,2016-06-24,91
Chine,Général,Gucheng,2016-06-25,62
Chine,Général,Gucheng,2016-06-26,98
Chine,Général,Gucheng,2016-06-27,121
Chine,Général,Gucheng,2016-06-28,120
Chine,Général,Gucheng,2016-06-29,125
Chine,Général,Gucheng,2016-06-30,91
Chine,Général,Gucheng,2016-07-02,41
Chine,Général,Gucheng,2016-07-03,86
Chine,Général,Gucheng,2016-07-23,88
Chine,Général,Gucheng,2016-07-25,146
Chine,Général,Gucheng,2016-07-26,125
Chine,Général,Gucheng,2016-07-27,158
Chine,Général,Gucheng,2016-07-29,91
Chine,Général,Gucheng,2016-07-30,105
Chine,Général,Gucheng,2016-08-01,108
Chine,Général,Gucheng,2016-08-02,123
Chine,Général,Gucheng,2016-08-03,128
Chine,Général,Gucheng,2016-08-04,122
Chine,Général,Gucheng,2016-08-05,92
Chine,Général,Gucheng,2016-08-06,54
Chine,Général,Gucheng,2016-08-07,127
Chine,Général,Gucheng,2016-08-09,131
Chine,Général,Gucheng,2016-08-10,119
Chine,Général,Gucheng,2016-08-11,83
Chine,Général,Gucheng,2016-08-12,102
Chine,Général,Gucheng,2016-08-13,38
Chine,Général,Gucheng,2016-08-14,111
Chine,Général,Gucheng,2016-08-15,75
Chine,Général,Gucheng,2016-08-16,109
Chine,Général,Gucheng,2016-08-17,133
Chine,Général,Gucheng,2016-08-18,119
Chine,Général,Gucheng,2016-08-19,85
Chine,Général,Gucheng,2016-08-20,13
Chine,Général,Gucheng,2016-08-21,80
Chine,Général,Gucheng,2016-08-22,140
Chine,Général,Gucheng,2016-08-23,160
Chine,Général,Gucheng,2016-08-24,139
Chine,Général,Gucheng,2016-08-25,131
Chine,Général,Gucheng,2016-08-26,98
Chine,Général,Gucheng,2016-08-27,28
Chine,Général,Gucheng,2016-08-28,87
Chine,Général,Gucheng,2016-08-29,130
Chine,Général,Gucheng,2016-08-30,135
Chine,Général,Gucheng,2016-08-31,161
Chine,Général,Gucheng,2016-09-01,189
Chine,Général,Gucheng,2016-09-06,225
Chine,Général,Gucheng,2016-09-07,152
